reach,d0,d1,d2,d3,d4,u0,u1,u2,u3,u4,upArea
1,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,155897.1651
2,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,39334.10941
3,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,25615.75275
4,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,158039.884
5,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,17988.3378
6,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,26131.60659
7,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,3188.446626
8,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,4971.952695
9,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,4448.012324
10,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,1453.930378
11,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,17597.81174
12,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,6542.664226
13,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,58115.83267
14,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,24598.22868
15,20,-1,-1,-1,-1,3,9,-1,-1,-1,2379.591178
16,19,-1,-1,-1,-1,8,-1,-1,-1,-1,4212.7443
17,21,-1,-1,-1,-1,12,-1,-1,-1,-1,47656.10123
18,22,-1,-1,-1,-1,11,-1,-1,-1,-1,3789.7975
19,23,-1,-1,-1,-1,16,-1,-1,-1,-1,3827.541004
20,47,-1,-1,-1,-1,10,15,-1,-1,-1,57.58411294
21,24,-1,-1,-1,-1,17,-1,-1,-1,-1,5308.894013
22,25,-1,-1,-1,-1,18,-1,-1,-1,-1,16120.91381
23,26,-1,-1,-1,-1,19,-1,-1,-1,-1,6880.126662
24,27,-1,-1,-1,-1,21,-1,-1,-1,-1,4029.474649
25,28,-1,-1,-1,-1,13,22,-1,-1,-1,4531.777479
26,29,-1,-1,-1,-1,23,-1,-1,-1,-1,12548.31711
27,30,-1,-1,-1,-1,24,-1,-1,-1,-1,29430.90372
28,36,-1,-1,-1,-1,25,-1,-1,-1,-1,81562.56208
29,31,-1,-1,-1,-1,26,7,-1,-1,-1,2804.929041
30,32,-1,-1,-1,-1,27,-1,-1,-1,-1,15661.47976
31,33,-1,-1,-1,-1,4,29,-1,-1,-1,3357.734799
32,34,-1,-1,-1,-1,14,30,-1,-1,-1,4718.660233
33,50,-1,-1,-1,-1,5,31,-1,-1,-1,15010.16601
34,35,-1,-1,-1,-1,32,-1,-1,-1,-1,598.6173029
35,36,-1,-1,-1,-1,34,-1,-1,-1,-1,10314.47539
36,37,-1,-1,-1,-1,28,35,-1,-1,-1,95585.24146
37,38,-1,-1,-1,-1,36,-1,-1,-1,-1,3869.061289
38,39,-1,-1,-1,-1,37,-1,-1,-1,-1,5648.965052
39,40,-1,-1,-1,-1,38,-1,-1,-1,-1,1853.615538
40,41,-1,-1,-1,-1,39,-1,-1,-1,-1,29836.51445
41,42,-1,-1,-1,-1,40,-1,-1,-1,-1,634.2485216
42,43,-1,-1,-1,-1,41,-1,-1,-1,-1,1776.234433
43,44,-1,-1,-1,-1,42,-1,-1,-1,-1,48993.08248
44,45,-1,-1,-1,-1,43,-1,-1,-1,-1,17877.2673
45,46,-1,-1,-1,-1,44,-1,-1,-1,-1,25379.59025
46,47,-1,-1,-1,-1,45,-1,-1,-1,-1,65823.75033
47,48,-1,-1,-1,-1,20,6,46,-1,-1,35808.95738
48,49,-1,-1,-1,-1,47,-1,-1,-1,-1,85427.55066
49,50,-1,-1,-1,-1,48,-1,-1,-1,-1,4528.763409
50,51,-1,-1,-1,-1,33,49,-1,-1,-1,41341.67281
51,52,-1,-1,-1,-1,50,-1,-1,-1,-1,15267.05053
52,53,-1,-1,-1,-1,1,51,-1,-1,-1,6622.305682
53,54,-1,-1,-1,-1,52,-1,-1,-1,-1,27184.92801
54,55,-1,-1,-1,-1,53,-1,-1,-1,-1,2240.41504
55,56,-1,-1,-1,-1,54,-1,-1,-1,-1,8756.367319
56,57,-1,-1,-1,-1,55,-1,-1,-1,-1,4528.446069
57,58,-1,-1,-1,-1,2,56,-1,-1,-1,1931.011735
58,-1,-1,-1,-1,-1,57,-1,-1,-1,-1,38515.29556
