reach,d0,d1,d2,d3,d4,nUp,u0,u1,u2,u3,u4,area,upArea
28998,-1,-1.0,-1.0,-1.0,-1.0,2,28997,28996,-1,-1,-1.0,34.38549190120048,1343325.089402495
28997,28998,-1.0,-1.0,-1.0,-1.0,2,28995,28994,-1,-1,-1.0,86.65972675018543,1343175.145627469
28996,28998,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,115.55828312424237,115.55828312424237
28995,28997,-1.0,-1.0,-1.0,-1.0,2,28993,28992,-1,-1,-1.0,42.1035991248362,1343040.2165899829
28994,28997,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,48.269310735658465,48.269310735658465
28993,28995,-1.0,-1.0,-1.0,-1.0,2,28991,28990,-1,-1,-1.0,52.32787481805464,1342862.1217029982
28992,28995,-1.0,-1.0,-1.0,-1.0,2,28989,28988,-1,-1,-1.0,5.2677127185955115,135.99128786041982
28991,28993,-1.0,-1.0,-1.0,-1.0,2,28987,28986,-1,-1,-1.0,11.67027547389388,1342749.8856005478
28990,28993,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,59.90822763234204,59.90822763234204
28989,28992,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,88.07927831677608,88.07927831677608
28988,28992,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,42.644296825048215,42.644296825048215
28987,28991,-1.0,-1.0,-1.0,-1.0,2,28985,28984,-1,-1,-1.0,18.89836499313329,1342684.057233538
28986,28991,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,54.1580915356669,54.1580915356669
28985,28987,-1.0,-1.0,-1.0,-1.0,2,28983,28982,-1,-1,-1.0,21.00328626625888,1342620.016687949
28984,28987,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,45.142180596328686,45.142180596328686
28983,28985,-1.0,-1.0,-1.0,-1.0,2,28981,28980,-1,-1,-1.0,31.574080361707765,1342418.2826628934
28982,28985,-1.0,-1.0,-1.0,-1.0,2,28979,28978,-1,-1,-1.0,38.09531554299052,180.73073878931515
28981,28983,-1.0,-1.0,-1.0,-1.0,2,28977,28976,-1,-1,-1.0,31.44221182846357,1342315.4008656072
28980,28983,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,71.3077169244783,71.3077169244783
28979,28982,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,90.3246168723588,90.3246168723588
28978,28982,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,52.31080637396585,52.31080637396585
28977,28981,-1.0,-1.0,-1.0,-1.0,2,28975,28974,-1,-1,-1.0,18.007261311361038,1342244.160933167
28976,28981,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,39.79772061205556,39.79772061205556
28975,28977,-1.0,-1.0,-1.0,-1.0,2,28973,28972,-1,-1,-1.0,10.216455905691964,1342197.9813200291
28974,28977,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,28.17235182643414,28.17235182643414
28973,28975,-1.0,-1.0,-1.0,-1.0,2,28971,28970,-1,-1,-1.0,40.69909905381153,1342097.4911105954
28972,28975,-1.0,-1.0,-1.0,-1.0,2,28969,28968,-1,-1,-1.0,0.8804014283789641,90.27375352785282
28971,28973,-1.0,-1.0,-1.0,-1.0,2,28967,28966,-1,-1,-1.0,2.465038350033881,1341820.209050134
28970,28973,-1.0,-1.0,-1.0,-1.0,2,28965,28964,-1,-1,-1.0,62.7140039898121,236.5829614075224
28969,28972,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,58.55851485201613,58.55851485201613
28968,28972,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,30.834837247457727,30.834837247457727
28967,28971,-1.0,-1.0,-1.0,-1.0,2,28963,28962,-1,-1,-1.0,34.15451148484977,1341443.957469745
28966,28971,-1.0,-1.0,-1.0,-1.0,2,28961,28960,-1,-1,-1.0,33.18844005356546,373.7865420386237
28965,28970,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,144.10408821138046,144.10408821138046
28964,28970,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,29.764869206329823,29.764869206329823
28963,28967,-1.0,-1.0,-1.0,-1.0,2,28959,28958,-1,-1,-1.0,17.606063683683704,1341368.2804532526
28962,28967,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,41.52250500800032,41.52250500800032
28961,28966,-1.0,-1.0,-1.0,-1.0,2,28957,28956,-1,-1,-1.0,20.026747600791573,252.02621341383326
28960,28966,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,88.57188857122485,88.57188857122485
