i,k,old_q,old_q_ch_in,old_q_ch_out,qlat_ch_old
1,1,101.884941,0.00000000,5.14313316,1.18404088E-04
1,2,101.884941,5.14313316,10.2838993,1.18404088E-04
1,3,101.884941,10.2838993,15.4383278,1.18404088E-04
1,4,101.884941,15.4383278,20.5535011,1.18404088E-04
1,5,101.884941,20.5535011,25.7122841,1.18404088E-04
1,6,101.884941,25.7122841,30.9352131,1.18404088E-04
1,7,101.884941,30.9352131,35.8555298,1.18404088E-04
1,8,101.884941,35.8555298,41.3054733,1.18404088E-04
1,9,101.884941,41.3054733,46.0511169,1.18404088E-04
1,10,101.884941,46.0511169,51.7015991,1.18404088E-04
1,11,101.884941,51.7015991,56.6055450,1.18404088E-04
1,12,101.884941,56.6055450,61.4986572,1.18404088E-04
1,13,101.884941,61.4986572,66.5508194,1.18404088E-04
1,14,101.884941,66.5508194,72.5491333,1.18404088E-04
1,15,101.884941,72.5491333,77.4052048,1.18404088E-04
1,16,101.884941,77.4052048,81.3801956,1.18404088E-04
1,17,101.884941,81.3801956,87.7283173,1.18404088E-04
1,18,101.884941,87.7283173,93.9212189,1.18404088E-04
1,19,101.884941,93.9212189,95.9983444,1.18404088E-04
1,20,101.884941,95.9983444,101.884941,1.18404088E-04
2,1,25.7309170,0.00000000,1.29630756,5.22970113E-05
2,2,25.7309170,1.29630756,2.62578058,5.22970113E-05
2,3,25.7309170,2.62578058,3.78651762,5.22970113E-05
2,4,25.7309170,3.78651762,5.28352928,5.22970113E-05
2,5,25.7309170,5.28352928,6.55640984,5.22970113E-05
2,6,25.7309170,6.55640984,7.71155930,5.22970113E-05
2,7,25.7309170,7.71155930,9.00203228,5.22970113E-05
2,8,25.7309170,9.00203228,10.3938751,5.22970113E-05
2,9,25.7309170,10.3938751,11.8108740,5.22970113E-05
2,10,25.7309170,11.8108740,12.9324665,5.22970113E-05
2,11,25.7309170,12.9324665,14.2755890,5.22970113E-05
2,12,25.7309170,14.2755890,15.4934959,5.22970113E-05
2,13,25.7309170,15.4934959,16.7717876,5.22970113E-05
2,14,25.7309170,16.7717876,18.1862164,5.22970113E-05
2,15,25.7309170,18.1862164,19.5890789,5.22970113E-05
2,16,25.7309170,19.5890789,20.9672642,5.22970113E-05
2,17,25.7309170,20.9672642,22.1683121,5.22970113E-05
2,18,25.7309170,22.1683121,23.2573605,5.22970113E-05
2,19,25.7309170,23.2573605,24.3658180,5.22970113E-05
2,20,25.7309170,24.3658180,25.7309170,5.22970113E-05
3,1,16.9030399,0.00000000,0.845050037,1.26328878E-05
3,2,16.9030399,0.845050037,1.69009995,1.26328878E-05
3,3,16.9030399,1.69009995,2.53515005,1.26328878E-05
3,4,16.9030399,2.53515005,3.38020015,1.26328878E-05
3,5,16.9030399,3.38020015,4.22525024,1.26328878E-05
3,6,16.9030399,4.22525024,5.07030010,1.26328878E-05
3,7,16.9030399,5.07030010,5.91535282,1.26328878E-05
3,8,16.9030399,5.91535282,6.76038551,1.26328878E-05
3,9,16.9030399,6.76038551,7.60552979,1.26328878E-05
3,10,16.9030399,7.60552979,8.45015812,1.26328878E-05
3,11,16.9030399,8.45015812,9.29669285,1.26328878E-05
3,12,16.9030399,9.29669285,10.1376982,1.26328878E-05
3,13,16.9030399,10.1376982,10.9908180,1.26328878E-05
3,14,16.9030399,10.9908180,11.8256521,1.26328878E-05
3,15,16.9030399,11.8256521,12.6738682,1.26328878E-05
3,16,16.9030399,12.6738682,13.5344400,1.26328878E-05
3,17,16.9030399,13.5344400,14.3511744,1.26328878E-05
3,18,16.9030399,14.3511744,15.2043562,1.26328878E-05
3,19,16.9030399,15.2043562,16.0792789,1.26328878E-05
3,20,16.9030399,16.0792789,16.9030399,1.26328878E-05
4,1,103.837410,0.00000000,5.21689463,8.50896031E-05
4,2,103.837410,5.21689463,10.4221706,8.50896031E-05
4,3,103.837410,10.4221706,15.5761719,8.50896031E-05
4,4,103.837410,15.5761719,21.1218681,8.50896031E-05
4,5,103.837410,21.1218681,25.6897392,8.50896031E-05
4,6,103.837410,25.6897392,31.4219608,8.50896031E-05
4,7,103.837410,31.4219608,36.6914062,8.50896031E-05
4,8,103.837410,36.6914062,41.4863815,8.50896031E-05
4,9,103.837410,41.4863815,46.7809982,8.50896031E-05
